id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1505604019796033542,1505574895870087168,2022-03-20 20:55:45 E. Africa Standard Time,2022-03-20,20:55:45,+0300,192014466,herbtvet,Herbert Tillman,,@TheView @abby_roque @USWNT why don’t you discuss the genocide in Yemen?? women and children being starved to death please where is the outrage. #EndTheSiegeOnYemen #woopi #FoxAndFriends #Jesus #Ethiopia #RacistEU,en,[],[],[],0,1,1,"['endthesiegeonyemen', 'woopi', 'foxandfriends', 'jesus', 'ethiopia', 'racisteu']",[],https://twitter.com/herbtvet/status/1505604019796033542,False,,0,,,,,,,,"[{'screen_name': 'TheView', 'name': 'The View', 'id': '21258337'}, {'screen_name': 'abby_roque', 'name': 'Abby Roque', 'id': '423695786'}, {'screen_name': 'USWNT', 'name': 'U.S. Soccer WNT', 'id': '133448051'}]",,,,
1505575193716019201,1505540584580296707,2022-03-20 19:01:13 E. Africa Standard Time,2022-03-20,19:01:13,+0300,1497536660564688898,coffeephile30,Coffeephile,,"@mfa_russia @KremlinRussia_E @RusEmbUSA @RussianEmbassy @RusBotschaft @mission_russian @RussiaUN @RusBotWien @FranceEnRussie @RussianEmbassyC @RF_OSCE Their true colour were never hidden from the world but from americans themselves,  cause their media is corrupt and manipulated #IStandWithPutin #istandwithrussia #hypocritewest #RacistUkraine #racistwest #Russophobia #RacistEU",en,[],[],[],0,0,0,"['istandwithputin', 'istandwithrussia', 'hypocritewest', 'racistukraine', 'racistwest', 'russophobia', 'racisteu']",[],https://twitter.com/Coffeephile30/status/1505575193716019201,False,,0,,,,,,,,"[{'screen_name': 'mfa_russia', 'name': 'MFA Russia 🇷🇺', 'id': '255471924'}, {'screen_name': 'KremlinRussia_E', 'name': 'President of Russia', 'id': '205622130'}, {'screen_name': 'RusEmbUSA', 'name': 'Russian Embassy in USA 🇷🇺', 'id': '1267887043'}, {'screen_name': 'RussianEmbassy', 'name': 'Russian Embassy, UK', 'id': '114718372'}, {'screen_name': 'RusBotschaft', 'name': 'Botschaft der Russischen Föderation', 'id': '596243227'}, {'screen_name': 'mission_russian', 'name': 'Russian Mission in Geneva', 'id': '342603455'}, {'screen_name': 'RussiaUN', 'name': 'Russia at the United Nations', 'id': '347443535'}, {'screen_name': 'RusBotWien', 'name': 'RusBotschaft Wien', 'id': '3001108415'}, {'screen_name': 'FranceEnRussie', 'name': 'France en Russie 🇫🇷🇪🇺', 'id': '2912809576'}, {'screen_name': 'RussianEmbassyC', 'name': 'Russia in Canada', 'id': '475954041'}, {'screen_name': 'RF_OSCE', 'name': 'Russian Mission OSCE', 'id': '2177016702'}]",,,,
1505567436548018178,1505556385773363211,2022-03-20 18:30:23 E. Africa Standard Time,2022-03-20,18:30:23,+0300,88729438,uncleobama_,UncleObama 🏳️‍🌈🏳️‍🌈😘🏳️‍🌈🏳️‍🌈,,"@Kuba59957242 Call it what you like , you still remain #RacistUkraine #racistpoland #RacistEU !  You and your 7 followers!  #AfricansinUkraine #AFRICANSINUKRAINE #WesternMedia  https://t.co/VHcEFH2fvh",en,[],[],['https://pbs.twimg.com/tweet_video_thumb/FOTZmUtWUAEf21h.jpg'],0,1,1,"['racistukraine', 'racistpoland', 'racisteu', 'africansinukraine', 'africansinukraine', 'westernmedia']",[],https://twitter.com/UncleObama_/status/1505567436548018178,False,,1,https://pbs.twimg.com/tweet_video_thumb/FOTZmUtWUAEf21h.jpg,,,,,,,"[{'screen_name': 'Kuba59957242', 'name': 'Kuba', 'id': '1387634893157552129'}]",,,,
1505560379241668608,1505560379241668608,2022-03-20 18:02:21 E. Africa Standard Time,2022-03-20,18:02:21,+0300,1428244405756956672,sunyaverse,ANUPAM 🇮🇳,,"The way WEST planning to remove YURI GAGARIN from their books so that coming generation will not be able to remember him &amp; know the true history of 'the first man on SPACE'  They are using their same old tricks of invading, erasing their history &amp; dividing people.  #RacistEU",en,[],[],[],0,0,1,['racisteu'],[],https://twitter.com/SunyaVerse/status/1505560379241668608,False,,0,,,,,,,,[],,,,
1505553513417482252,1505553513417482252,2022-03-20 17:35:04 E. Africa Standard Time,2022-03-20,17:35:04,+0300,1463187604673753088,mrarkinbey,Arkin Oksuzoglu,,"Turns out we never had a migrant crisis, we had a racism crisis. #RacistEU #racism  https://t.co/Y81kKSnPA6",en,[],[],['https://pbs.twimg.com/media/FOTM8GfXMAEHO0c.jpg'],2,4,14,"['racisteu', 'racism']",[],https://twitter.com/MrArkinBey/status/1505553513417482252,False,,1,https://pbs.twimg.com/media/FOTM8GfXMAEHO0c.jpg,,,,,,,[],,,,
1505552093041594371,1505552093041594371,2022-03-20 17:29:25 E. Africa Standard Time,2022-03-20,17:29:25,+0300,1463187604673753088,mrarkinbey,Arkin Oksuzoglu,,"She’s actually got a point, more Brits are calling the UK out on racism. Watch this clip and see if you agree? #RacistEU #Racisim   RT &amp; Follow for more…  https://t.co/qWUxFJxBqR",en,[],[],[],1,3,3,"['racisteu', 'racisim']",[],https://twitter.com/MrArkinBey/status/1505552093041594371,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1505552047072059397/pu/img/vSY-uL6QRBn8mp9I.jpg,,,,,,,[],,,,
1505521767070240773,1505521767070240773,2022-03-20 15:28:55 E. Africa Standard Time,2022-03-20,15:28:55,+0300,88729438,uncleobama_,UncleObama 🏳️‍🌈🏳️‍🌈😘🏳️‍🌈🏳️‍🌈,,You are on your own there mr softy Azazel. You alone exposed your racism to the  https://t.co/vjL9OpYjjS did it all by yourself with your own little finger. 😂🤣🤣 #bully #blacklivesmatter. #RacistEU #lbc @lbc @cnn @AlJazeera_World @BBCNewsnight #RefugeesWelcome #SocialistSunday,en,"[{'screen_name': 'lbc', 'name': 'lbc', 'id': '20973388'}, {'screen_name': 'cnn', 'name': 'cnn', 'id': '759251'}, {'screen_name': 'bbcnewsnight', 'name': 'bbc newsnight', 'id': '20543416'}]",['http://world.You'],[],0,0,0,"['bully', 'blacklivesmatter', 'racisteu', 'lbc', 'refugeeswelcome', 'socialistsunday']",[],https://twitter.com/UncleObama_/status/1505521767070240773,False,https://twitter.com/Voldamortpott/status/1505509881859694593,0,,,,,,,,[],,,,
1505519295983456257,1505519295983456257,2022-03-20 15:19:06 E. Africa Standard Time,2022-03-20,15:19:06,+0300,88729438,uncleobama_,UncleObama 🏳️‍🌈🏳️‍🌈😘🏳️‍🌈🏳️‍🌈,,"Based on this pathetic argument of yours , ukranian refugees must also stay in poland , romania or hungary or moldova. If they come to france or uk , they are economic migrants ! Is  that correct ?  #Refugees #RefugeesWelcome #RacistUkraine #racistpoland #RacistEU #lbc #bbcaq",en,[],[],[],1,2,1,"['refugees', 'refugeeswelcome', 'racistukraine', 'racistpoland', 'racisteu', 'lbc', 'bbcaq']",[],https://twitter.com/UncleObama_/status/1505519295983456257,False,https://twitter.com/1313wad/status/1505516052318457858,0,,,,,,,,[],,,,
1505517290980315136,1505517290980315136,2022-03-20 15:11:07 E. Africa Standard Time,2022-03-20,15:11:07,+0300,88729438,uncleobama_,UncleObama 🏳️‍🌈🏳️‍🌈😘🏳️‍🌈🏳️‍🌈,,"If you fail , roll out your racist tweet ! You bit more than you can chew today Voldamort! Didnt you ? 😱🤣🤣 #RacistUkraine #RacistEU #Refugees #RefugeesWelcome",en,[],[],[],0,0,0,"['racistukraine', 'racisteu', 'refugees', 'refugeeswelcome']",[],https://twitter.com/UncleObama_/status/1505517290980315136,False,https://twitter.com/Voldamortpott/status/1505516247450103809,0,,,,,,,,[],,,,
1505511138066411524,1505462944573935616,2022-03-20 14:46:41 E. Africa Standard Time,2022-03-20,14:46:41,+0300,88729438,uncleobama_,UncleObama 🏳️‍🌈🏳️‍🌈😘🏳️‍🌈🏳️‍🌈,,"@Voldamortpott @1313wad @MirrorPolitics You either , cant read or you cant use your own initiative to think for yourself ! #AfricansinUkraine #RacistEU #RacistUkraine #lbc  https://t.co/HbZD4f0D8Z",en,[],[],['https://pbs.twimg.com/tweet_video_thumb/FOSmZZwXoAACUZG.jpg'],2,0,1,"['africansinukraine', 'racisteu', 'racistukraine', 'lbc']",[],https://twitter.com/UncleObama_/status/1505511138066411524,False,,1,https://pbs.twimg.com/tweet_video_thumb/FOSmZZwXoAACUZG.jpg,,,,,,,"[{'screen_name': 'Voldamortpott', 'name': 'Azazel 👿⚪🟡', 'id': '1491479972640342019'}, {'screen_name': '1313wad', 'name': 'Waldemar Adamczyk', 'id': '3056198620'}, {'screen_name': 'MirrorPolitics', 'name': 'Mirror Politics', 'id': '130138925'}]",,,,
1505503052287156230,1505462944573935616,2022-03-20 14:14:33 E. Africa Standard Time,2022-03-20,14:14:33,+0300,88729438,uncleobama_,UncleObama 🏳️‍🌈🏳️‍🌈😘🏳️‍🌈🏳️‍🌈,,@Voldamortpott @1313wad @MirrorPolitics Dont  u agree poland is safe country ? and the #ukrainian refugees dont need to come to the uk because they are safe in mainland Europe including france ? 🤣🤣🤣🤣 #RacistUkraine #racisteu #Hypocrites  https://t.co/nFYd1F8FAB,en,[],[],['https://pbs.twimg.com/tweet_video_thumb/FOSfCvgXoAkQQ6A.jpg'],2,0,0,"['ukrainian', 'racistukraine', 'racisteu', 'hypocrites']",[],https://twitter.com/UncleObama_/status/1505503052287156230,False,,1,https://pbs.twimg.com/tweet_video_thumb/FOSfCvgXoAkQQ6A.jpg,,,,,,,"[{'screen_name': 'Voldamortpott', 'name': 'Azazel 👿⚪🟡', 'id': '1491479972640342019'}, {'screen_name': '1313wad', 'name': 'Waldemar Adamczyk', 'id': '3056198620'}, {'screen_name': 'MirrorPolitics', 'name': 'Mirror Politics', 'id': '130138925'}]",,,,
1505493488682643456,1505478998809358339,2022-03-20 13:36:33 E. Africa Standard Time,2022-03-20,13:36:33,+0300,88729438,uncleobama_,UncleObama 🏳️‍🌈🏳️‍🌈😘🏳️‍🌈🏳️‍🌈,,"@1313wad @LBC @NickFerrariLBC @HackneyAbbott @IainDale oni też są uchodźcami.  zbombardowaliśmy też ich kraje.  zbombardowaliśmy Syrię, zbombardowaliśmy Irak, zbombardowaliśmy Libię. tutaj yiu rozpowszechniacie kłamstwa, aby ukryć wasz rasizm, nazywając ich emigrantami ekonomicznymi.  nie bądź głupi!  odpowiedz po angielsku #racisteu  https://t.co/z3e0SmJgr8",pl,[],[],['https://pbs.twimg.com/tweet_video_thumb/FOSWVxnX0AUthDY.jpg'],1,0,0,['racisteu'],[],https://twitter.com/UncleObama_/status/1505493488682643456,False,,1,https://pbs.twimg.com/tweet_video_thumb/FOSWVxnX0AUthDY.jpg,,,,,,,"[{'screen_name': '1313wad', 'name': 'Waldemar Adamczyk', 'id': '3056198620'}, {'screen_name': 'LBC', 'name': 'LBC', 'id': '20973388'}, {'screen_name': 'NickFerrariLBC', 'name': 'Nick Ferrari', 'id': '492014042'}, {'screen_name': 'HackneyAbbott', 'name': 'Diane Abbott MP', 'id': '153810216'}, {'screen_name': 'IainDale', 'name': 'Iain Dale ⚒️🇺🇦', 'id': '5838002'}]",,,,
1505479688520667137,1505479688520667137,2022-03-20 12:41:42 E. Africa Standard Time,2022-03-20,12:41:42,+0300,88729438,uncleobama_,UncleObama 🏳️‍🌈🏳️‍🌈😘🏳️‍🌈🏳️‍🌈,,"#lbc #RacistUkraine  #RacistEU #brexit Embraced or pushed back: on the Polish border, sadly, not all refugees are welcome | Lorenzo Tondo   https://t.co/vnqKlHyqUd",en,[],['https://www.theguardian.com/global-development/commentisfree/2022/mar/04/embraced-or-pushed-back-on-the-polish-border-sadly-not-all-refugees-are-welcome'],[],0,0,1,"['lbc', 'racistukraine', 'racisteu', 'brexit']",[],https://twitter.com/UncleObama_/status/1505479688520667137,False,,0,,,,,,,,[],,,,
1505478998809358339,1505478998809358339,2022-03-20 12:38:58 E. Africa Standard Time,2022-03-20,12:38:58,+0300,88729438,uncleobama_,UncleObama 🏳️‍🌈🏳️‍🌈😘🏳️‍🌈🏳️‍🌈,,Hey #lbc Poland wasnt magnificent to the syrian refugees. Why was that ?  Your hypocrisy in the uk media is making me sick ! #SyrianRefugees #poland #RefugeesWelcome #RacistEU #RacistUkraine #AfricansinUkraine @LBC @NickFerrariLBC #lbcnews @HackneyAbbott @IainDale  https://t.co/Vxs4dO6KKn,en,"[{'screen_name': 'lbc', 'name': 'lbc', 'id': '20973388'}, {'screen_name': 'nickferrarilbc', 'name': 'nick ferrari', 'id': '492014042'}, {'screen_name': 'hackneyabbott', 'name': 'diane abbott mp', 'id': '153810216'}, {'screen_name': 'iaindale', 'name': 'iain dale ⚒️🇺🇦', 'id': '5838002'}]",[],['https://pbs.twimg.com/media/FOSJKt_XMAQxA6f.jpg'],1,0,2,"['lbc', 'syrianrefugees', 'poland', 'refugeeswelcome', 'racisteu', 'racistukraine', 'africansinukraine', 'lbcnews']",[],https://twitter.com/UncleObama_/status/1505478998809358339,False,,1,https://pbs.twimg.com/media/FOSJKt_XMAQxA6f.jpg,,,,,,,[],,,,
1505423572440780806,1505423572440780806,2022-03-20 08:58:43 E. Africa Standard Time,2022-03-20,08:58:43,+0300,802421045848199168,_veerbhadra,No-Body,,Please take your time and read this #racism #RacistEU #whitemanburden #civilisedworld  https://t.co/JXJ1jD79wA,en,[],[],['https://pbs.twimg.com/media/FORWwbcaUAQLXxi.jpg'],2,1,3,"['racism', 'racisteu', 'whitemanburden', 'civilisedworld']",[],https://twitter.com/_VeerBhadra/status/1505423572440780806,False,,1,https://pbs.twimg.com/media/FORWwbcaUAQLXxi.jpg,,,,,,,[],,,,
1505288331592151044,1505288331592151044,2022-03-20 00:01:19 E. Africa Standard Time,2022-03-20,00:01:19,+0300,2929100268,alubeida,#savepalestine-Hussein mohamed,,#Ukraine #Ukrainian #RacistEU #Russia #Palestine #UnitedNations against muslims! #Hypocrisy,en,[],[],[],0,0,1,"['ukraine', 'ukrainian', 'racisteu', 'russia', 'palestine', 'unitednations', 'hypocrisy']",[],https://twitter.com/alubeida/status/1505288331592151044,False,https://twitter.com/YousefMunayyer/status/941743091337322497,0,,,,,,,,[],,,,
1505274324965486592,1505274324965486592,2022-03-19 23:05:40 E. Africa Standard Time,2022-03-19,23:05:40,+0300,1497536660564688898,coffeephile30,Coffeephile,,"See told ya!! #Ukraine ain't no saint , and I'm confident about the biological weapons too ..which is def. Funded by the (as usual) USA 🤡.. wuhan lab backfired though  👉🏻👈🏻,(just saying)😶 #boycottamerica #Russophobia #RacistEU #IStandWithPutin #iSupportRussia #americasucks",en,[],[],[],1,0,1,"['ukraine', 'boycottamerica', 'russophobia', 'racisteu', 'istandwithputin', 'isupportrussia', 'americasucks']",[],https://twitter.com/Coffeephile30/status/1505274324965486592,False,https://twitter.com/RT_com/status/1505242703545573379,0,,,,,,,,[],,,,
1505192887960674306,1504712038261702656,2022-03-19 17:42:04 E. Africa Standard Time,2022-03-19,17:42:04,+0300,1153834516101902336,hassany89,Vladmir Putin,,@Billbrowder Western arrogance . #RacistEU #abolishNATO,en,[],[],[],0,0,0,"['racisteu', 'abolishnato']",[],https://twitter.com/HassanY89/status/1505192887960674306,False,,0,,,,,,,,"[{'screen_name': 'Billbrowder', 'name': 'Bill Browder', 'id': '29769998'}]",,,,
